Date,Open,High,Low,MA5,MA20,MA73,Close
2015/3/11,1.070939,1.071455,1.05614,1.0587668,1.0780299,1.097970205,1.07087
2015/3/12,1.054941,1.06815,1.050155,1.0565538,1.07860715,1.098880123,1.054875
2015/3/13,1.062598,1.063,1.04863,1.0625786,1.0797898,1.099976438,1.062631
2015/3/16,1.048449,1.0614,1.048449,1.0634312,1.08000355,1.100724219,1.048163
2015/3/17,1.057284,1.0649,1.055298,1.0703308,1.08064465,1.101717863,1.057295
2015/3/18,1.059591,1.0646,1.05805,1.0777716,1.08064465,1.102580918,1.059805
2015/3/19,1.084399,1.091405,1.062141,1.0838512,1.08089005,1.103097315,1.084999
2015/3/20,1.06727,1.08149,1.06572,1.0860608,1.0800241,1.103608247,1.066894
2015/3/23,1.082603,1.09437,1.07695,1.0904094,1.0804573,1.104246671,1.082661
2015/3/24,1.094799,1.103,1.089331,1.0915762,1.0803754,1.10453026,1.094499
2015/3/25,1.09106,1.101297,1.091,1.0892814,1.0793879,1.104724753,1.090203
2015/3/26,1.096648,1.10452,1.09126,1.0860036,1.07858635,1.104852178,1.096047
2015/3/27,1.088554,1.089538,1.08053,1.082193,1.0774131,1.104973438,1.088637
2015/3/30,1.088198,1.088495,1.08111,1.0818806,1.07705635,1.105142712,1.088495
2015/3/31,1.082907,1.084352,1.071765,1.0842084,1.07697645,1.105397589,1.083025
2015/4/1,1.074102,1.08003,1.07213,1.0862998,1.077215,1.105716493,1.073814
2015/4/2,1.076983,1.08969,1.075269,1.08802,1.0783699,1.106251973,1.076994
2015/4/3,1.087098,1.102196,1.08659,1.0883268,1.0800918,1.106554055,1.087075
2015/4/6,1.100146,1.103594,1.096852,1.084293,1.08181135,1.106742068,1.100134
2015/4/7,1.093482,1.095554,1.08377,1.0764632,1.0827343,1.106662904,1.093482
2015/4/8,1.082497,1.089,1.07895,1.0692258,1.0838059,1.106596041,1.082415
2015/4/9,1.078435,1.079005,1.067,1.0656854,1.0856167,1.106604397,1.078528
2015/4/10,1.066724,1.06835,1.05715,1.0635158,1.08839765,1.106673068,1.066906
2015/4/13,1.060828,1.062,1.05216,1.0652462,1.0912871,1.107044164,1.060985
2015/4/14,1.057496,1.07069,1.05325,1.0692538,1.0942082,1.107478685,1.057295
2015/4/15,1.064793,1.06687,1.05746,1.0727446,1.09706555,1.10804863,1.064713
2015/4/16,1.067714,1.07624,1.0628,1.0746364,1.0999372,1.108494164,1.06768
2015/4/17,1.075998,1.08469,1.07351,1.0756168,1.1033056,1.109060247,1.075558
2015/4/20,1.081023,1.081865,1.07162,1.0768056,1.1065526,1.109485466,1.081023
2015/4/21,1.074818,1.0765,1.066159,1.0779804,1.1097267,1.109723589,1.074749
2015/4/22,1.073825,1.08,1.07101,1.0805898,1.11262015,1.10998626,1.074172
2015/4/23,1.072501,1.08182,1.06713,1.0851378,1.11464485,1.110297603,1.072582
2015/4/24,1.081514,1.0898,1.078772,1.0929078,1.1165195,1.110612945,1.081502
2015/4/27,1.086744,1.09049,1.082391,1.1009006,1.11800365,1.11071426,1.086897
2015/4/28,1.087701,1.0989,1.08618,1.1072398,1.1186238,1.110761014,1.087796
2015/4/29,1.097213,1.117599,1.09606,1.1126634,1.11908985,1.11082826,1.096912
2015/4/30,1.111321,1.124759,1.1073,1.1170072,1.11868855,1.110822658,1.111432
2015/5/1,1.121504,1.12897,1.1186,1.1215502,1.117617,1.110689315,1.121466
2015/5/4,1.119094,1.122311,1.1124,1.122196,1.11634545,1.110452849,1.118593
2015/5/5,1.115001,1.121,1.1069,1.1223588,1.1152055,1.110418644,1.114914
2015/5/6,1.118443,1.13653,1.117805,1.1222644,1.11407475,1.110434836,1.118631
2015/5/7,1.133928,1.13906,1.12382,1.1229674,1.11389325,1.110307,1.134147
2015/5/8,1.124505,1.1289,1.118519,1.1231476,1.1134751,1.109946082,1.124695
2015/5/11,1.119695,1.120298,1.113461,1.1263082,1.1132797,1.109650027,1.119407
2015/5/12,1.114604,1.12779,1.113598,1.1313278,1.1128501,1.109545863,1.114442
2015/5/13,1.121894,1.138281,1.12055,1.134963,1.11353275,1.109672644,1.122146
2015/5/14,1.134803,1.144379,1.134224,1.133467,1.1139207,1.109885644,1.135048
2015/5/15,1.140394,1.1451,1.13247,1.1284724,1.1137281,1.110204247,1.140498
2015/5/18,1.1444,1.1447,1.133879,1.1226098,1.11290635,1.110404205,1.144505
2015/5/19,1.132541,1.132618,1.1121,1.1135688,1.1117808,1.11026037,1.132618
2015/5/20,1.114678,1.115076,1.106574,1.1064686,1.11153495,1.110153219,1.114666
2015/5/21,1.110309,1.118001,1.108586,1.1013126,1.11201175,1.110245507,1.110075
2015/5/22,1.111099,1.121,1.1007,1.0972978,1.11335785,1.11041689,1.111185
2015/5/25,1.099215,1.101,1.096071,1.0942678,1.1146523,1.110665644,1.0993
2015/5/26,1.097129,1.097129,1.08752,1.0935666,1.116552,1.110971178,1.097117
2015/5/27,1.088755,1.093,1.0822,1.092603,1.11844145,1.111183205,1.088886
2015/5/28,1.0898,1.095,1.08688,1.097826,1.1198581,1.111543671,1.090001
2015/5/29,1.095794,1.10035,1.092911,1.1049826,1.121393,1.111905233,1.096035
2015/6/1,1.095902,1.098,1.08889,1.109933,1.12260615,1.112243616,1.095794
2015/6/2,1.092275,1.11663,1.091941,1.1129372,1.12269155,1.112603562,1.092299
2015/6/3,1.114827,1.128329,1.108679,1.1200964,1.12419145,1.113107534,1.115001
2015/6/4,1.126228,1.137605,1.12326,1.1230772,1.12411635,1.113373329,1.125784
2015/6/5,1.121604,1.12802,1.10518,1.1241596,1.1229953,1.113441507,1.120787
2015/6/8,1.110543,1.12428,1.108807,1.1248148,1.1223908,1.113529082,1.110815
2015/6/9,1.128197,1.133969,1.12167,1.1270506,1.1218253,1.113780973,1.128095
2015/6/10,1.129331,1.1382,1.12666,1.1269718,1.1206655,1.113945356,1.129905
2015/6/11,1.131299,1.132054,1.11888,1.1258312,1.11921995,1.11393574,1.131196
2015/6/12,1.124505,1.12933,1.11525,1.1269914,1.1180152,1.113769959,1.124063
2015/6/15,1.121793,1.125811,1.11915,1.1295936,1.1171273,1.11360574,1.121994
2015/6/16,1.127701,1.13301,1.12116,1.1326536,1.1166728,1.113564644,1.127701
2015/6/17,1.12424,1.12911,1.122949,1.1340946,1.11524005,1.113430288,1.124202
2015/6/18,1.136415,1.14284,1.134101,1.132698,1.11406995,1.113375082,1.136997
2015/6/19,1.137294,1.138797,1.129599,1.1294384,1.11193785,1.113184753,1.137074
2015/6/22,1.136235,1.141,1.131601,1.1260832,1.1095142,1.113027493,1.137294
2015/6/23,1.134623,1.134623,1.113771,1.1181248,1.10680075,1.112752315,1.134906
2015/6/24,1.117706,1.124,1.116283,1.115603,1.1042325,1.112539137,1.117219
2015/6/25,1.120712,1.12241,1.11567,1.114859,1.10307135,1.112614219,1.120699
2015/6/26,1.120385,1.122,1.11363,1.1113918,1.10167165,1.112598068,1.120298
2015/6/29,1.098298,1.119741,1.098298,1.1090716,1.1006018,1.112687123,1.097502
2015/6/30,1.121604,1.12388,1.1123,1.1094722,1.10058855,1.11305011,1.122297
